,id,user_id,user,sure_parent,child_not_listening,wrong_corrrect,good_job_parent,useless_parent,child_getting_way,parenting_knowledge,upset_child,solve_problems,parent_child_change,started_at,finished_at
0,64baf87f7440b5960a1c29cd,644604ce6b909279c959fa41,rtocs_kate,3,4,5,5,2,2,2,2,2,5,1689974901456,1689974909630
1,64baf87f184512c478373baa,644604ce6b909279c959fa41,rtocs_kate,3,4,5,5,2,2,2,2,2,5,1689974901456,1689974908497
